nomPays;sexe;annee;taux
AUS;TOT;1964;43
AUS;TOT;1966;40
AUS;TOT;1969;37
AUS;TOT;1974;37,8
AUS;TOT;1976;38,4
AUS;TOT;1980;36
AUS;TOT;1983;35,4
AUS;TOT;1986;30,6
AUS;TOT;1989;28,6
AUS;TOT;1992;26
AUS;TOT;1995;24,1
AUS;TOT;1998;22,1
AUS;TOT;2001;19,6
AUS;TOT;2004;17,8
AUS;TOT;2007;16,9
AUS;TOT;2010;15,3
AUS;TOT;2013;13
AUS;TOT;2016;12,4
AUS;TOT;2019;11,2
AUT;TOT;1972;22,9
AUT;TOT;1979;23,5
AUT;TOT;1986;25,5
AUT;TOT;1997;24,3
AUT;TOT;2006;23,2
AUT;TOT;2014;24,3
AUT;TOT;2019;20,6
BEL;TOT;1997;25,5
BEL;TOT;2001;24,1
BEL;TOT;2004;23,7
BEL;TOT;2008;20,5
BEL;TOT;2013;18,9
BEL;TOT;2018;15,4
CAN;TOT;1964;42
CAN;TOT;1965;42,5
CAN;TOT;1966;42,5
CAN;TOT;1967;42
CAN;TOT;1968;41
CAN;TOT;1969;40
CAN;TOT;1970;39,5
CAN;TOT;1971;39,5
CAN;TOT;1972;39
CAN;TOT;1979;34,4
CAN;TOT;1981;32,8
CAN;TOT;1983;31,2
CAN;TOT;1985;30,4
CAN;TOT;1986;28,3
CAN;TOT;1988;30,8
CAN;TOT;1989;31
CAN;TOT;1990;28,2
CAN;TOT;1991;25,9
CAN;TOT;1994;25,5
CAN;TOT;1996;24,5
CAN;TOT;1998;23,8
CAN;TOT;2001;22,4
CAN;TOT;2003;18,7
CAN;TOT;2005;17,3
CAN;TOT;2007;18,2
CAN;TOT;2008;17,5
CAN;TOT;2009;16,2
CAN;TOT;2010;16,3
CAN;TOT;2011;15,7
CAN;TOT;2012;16,1
CAN;TOT;2013;14,9
CAN;TOT;2014;14
CAN;TOT;2015;13,1
CAN;TOT;2016;12,5
CAN;TOT;2017;12
CAN;TOT;2018;11,3
CAN;TOT;2019;10,3
CZE;TOT;1993;26,1
CZE;TOT;1996;26,2
CZE;TOT;1999;23,5
CZE;TOT;2002;24,1
CZE;TOT;2003;27,2
CZE;TOT;2004;25,4
CZE;TOT;2005;24,3
CZE;TOT;2006;23,4
CZE;TOT;2007;24
CZE;TOT;2008;21,8
CZE;TOT;2009;23,8
CZE;TOT;2010;22,8
CZE;TOT;2011;21,7
CZE;TOT;2012;22,9
CZE;TOT;2013;22,2
CZE;TOT;2014;22,3
CZE;TOT;2015;18,2
CZE;TOT;2016;19,6
CZE;TOT;2017;18,4
CZE;TOT;2018;21,1
CZE;TOT;2019;18,1
DNK;TOT;1970;57,5
DNK;TOT;1971;56
DNK;TOT;1972;55
DNK;TOT;1973;54,5
DNK;TOT;1974;55
DNK;TOT;1975;53
DNK;TOT;1976;54
DNK;TOT;1977;53
DNK;TOT;1978;51,5
DNK;TOT;1979;51
DNK;TOT;1980;50,5
DNK;TOT;1981;49
DNK;TOT;1982;48
DNK;TOT;1983;48,5
DNK;TOT;1984;47
DNK;TOT;1985;46,5
DNK;TOT;1986;49
DNK;TOT;1987;46
DNK;TOT;1988;44,5
DNK;TOT;1989;44
DNK;TOT;1990;44,5
DNK;TOT;1991;44
DNK;TOT;1992;42,5
DNK;TOT;1993;42
DNK;TOT;1994;37
DNK;TOT;1995;35,5
DNK;TOT;1996;34
DNK;TOT;1997;32
DNK;TOT;1998;31
DNK;TOT;1999;31
DNK;TOT;2000;30,5
DNK;TOT;2001;29,5
DNK;TOT;2002;28
DNK;TOT;2003;28
DNK;TOT;2004;26
DNK;TOT;2005;26
DNK;TOT;2006;25
DNK;TOT;2007;24
DNK;TOT;2008;23
DNK;TOT;2009;19
DNK;TOT;2010;20,9
DNK;TOT;2013;17
DNK;TOT;2017;16,9
FIN;TOT;1978;26,6
FIN;TOT;1979;27,2
FIN;TOT;1980;26,1
FIN;TOT;1981;27,2
FIN;TOT;1982;24,4
FIN;TOT;1983;24,9
FIN;TOT;1984;24,6
FIN;TOT;1985;22,8
FIN;TOT;1986;25,1
FIN;TOT;1987;26,7
FIN;TOT;1988;26,7
FIN;TOT;1989;25,9
FIN;TOT;1990;25,9
FIN;TOT;1991;27
FIN;TOT;1992;26
FIN;TOT;1993;23,9
FIN;TOT;1994;22,7
FIN;TOT;1995;24
FIN;TOT;1996;22,4
FIN;TOT;1997;24,1
FIN;TOT;1998;25,1
FIN;TOT;1999;23,2
FIN;TOT;2000;23,4
FIN;TOT;2001;23,8
FIN;TOT;2002;23,4
FIN;TOT;2003;22,2
FIN;TOT;2004;23
FIN;TOT;2005;21,8
FIN;TOT;2006;21,4
FIN;TOT;2007;20,6
FIN;TOT;2008;20,4
FIN;TOT;2009;18,6
FIN;TOT;2010;19
FIN;TOT;2011;17,8
FIN;TOT;2012;17
FIN;TOT;2013;15,8
FIN;TOT;2014;15,4
FIN;TOT;2015;17,4
FIN;TOT;2016;15
FIN;TOT;2017;13
FIN;TOT;2018;14
FIN;TOT;2019;13
FIN;TOT;2020;12
FRA;TOT;1960;32
FRA;TOT;1965;25
FRA;TOT;1967;26
FRA;TOT;1988;27
FRA;TOT;1989;28
FRA;TOT;1990;31
FRA;TOT;1991;31
FRA;TOT;1992;29
